state,date,sex,age,ethnicity,population
Johor,2022-01-01,both,20-24,other_citizen,3.7
Johor,2022-01-01,both,20-24,other_noncitizen,58.2
Johor,2022-01-01,both,25-29,overall,363.8
Johor,2022-01-01,both,25-29,bumi_malay,179.0
Johor,2022-01-01,both,25-29,bumi_other,3.1
Johor,2022-01-01,both,25-29,chinese,99.3
Johor,2022-01-01,both,25-29,indian,19.8
Johor,2022-01-01,both,25-29,other_citizen,1.1
Johor,2022-01-01,both,25-29,other_noncitizen,61.6
Johor,2022-01-01,both,30-34,overall,333.6
Johor,2022-01-01,both,30-34,bumi_malay,175.7
Johor,2022-01-01,both,30-34,bumi_other,3.8
Johor,2022-01-01,both,30-34,chinese,92.9
Johor,2022-01-01,both,30-34,indian,18.4
Johor,2022-01-01,both,30-34,other_citizen,1.0
Johor,2022-01-01,both,30-34,other_noncitizen,41.8
Johor,2022-01-01,both,35-39,overall,319.0
Johor,2022-01-01,both,35-39,bumi_malay,172.8
Johor,2022-01-01,both,35-39,bumi_other,6.3
Johor,2022-01-01,both,35-39,chinese,91.1
Johor,2022-01-01,both,35-39,indian,18.9
Johor,2022-01-01,both,35-39,other_citizen,0.6
Johor,2022-01-01,both,35-39,other_noncitizen,29.2
Johor,2022-01-01,both,40-44,overall,276.2
Johor,2022-01-01,both,40-44,bumi_malay,144.1
Johor,2022-01-01,both,40-44,bumi_other,4.7
Johor,2022-01-01,both,40-44,chinese,86.9
Johor,2022-01-01,both,40-44,indian,20.0
Johor,2022-01-01,both,40-44,other_citizen,1.0
Johor,2022-01-01,both,40-44,other_noncitizen,19.5
Johor,2022-01-01,both,45-49,overall,235.9
Johor,2022-01-01,both,45-49,bumi_malay,117.2
Johor,2022-01-01,both,45-49,bumi_other,4.0
Johor,2022-01-01,both,45-49,chinese,83.0
Johor,2022-01-01,both,45-49,indian,16.3
Johor,2022-01-01,both,45-49,other_citizen,1.4
Johor,2022-01-01,both,45-49,other_noncitizen,14.1
Johor,2022-01-01,both,50-54,overall,215.6
Johor,2022-01-01,both,50-54,bumi_malay,110.0
Johor,2022-01-01,both,50-54,bumi_other,2.5
Johor,2022-01-01,both,50-54,chinese,78.9
Johor,2022-01-01,both,50-54,indian,13.9
Johor,2022-01-01,both,50-54,other_citizen,0.7
Johor,2022-01-01,both,50-54,other_noncitizen,9.7
Johor,2022-01-01,both,55-59,overall,193.9
Johor,2022-01-01,both,55-59,bumi_malay,100.8
Johor,2022-01-01,both,55-59,bumi_other,1.8
Johor,2022-01-01,both,55-59,chinese,71.2
Johor,2022-01-01,both,55-59,indian,12.1
Johor,2022-01-01,both,55-59,other_citizen,0.6
Johor,2022-01-01,both,55-59,other_noncitizen,7.4
Johor,2022-01-01,both,60-64,overall,164.8
Johor,2022-01-01,both,60-64,bumi_malay,85.6
Johor,2022-01-01,both,60-64,bumi_other,1.3
Johor,2022-01-01,both,60-64,chinese,62.6
Johor,2022-01-01,both,60-64,indian,9.8
Johor,2022-01-01,both,60-64,other_citizen,0.6
Johor,2022-01-01,both,60-64,other_noncitizen,4.9
Johor,2022-01-01,both,65-69,overall,113.9
Johor,2022-01-01,both,65-69,bumi_malay,58.5
Johor,2022-01-01,both,65-69,bumi_other,1.1
Johor,2022-01-01,both,65-69,chinese,38.3
Johor,2022-01-01,both,65-69,indian,7.1
Johor,2022-01-01,both,65-69,other_citizen,0.8
Johor,2022-01-01,both,65-69,other_noncitizen,8.1
Johor,2022-01-01,both,70-74,overall,70.3
Johor,2022-01-01,both,70-74,bumi_malay,37.8
Johor,2022-01-01,both,70-74,bumi_other,0.9
Johor,2022-01-01,both,70-74,chinese,21.8
Johor,2022-01-01,both,70-74,indian,4.2
Johor,2022-01-01,both,70-74,other_citizen,0.4
Johor,2022-01-01,both,70-74,other_noncitizen,5.3
Johor,2022-01-01,both,75-79,overall,41.8
Johor,2022-01-01,both,75-79,bumi_malay,21.4
Johor,2022-01-01,both,75-79,bumi_other,0.6
Johor,2022-01-01,both,75-79,chinese,14.2
Johor,2022-01-01,both,75-79,indian,2.6
Johor,2022-01-01,both,75-79,other_citizen,0.1
Johor,2022-01-01,both,75-79,other_noncitizen,2.9
Johor,2022-01-01,both,80-84,overall,24.5
Johor,2022-01-01,both,80-84,bumi_malay,12.3
Johor,2022-01-01,both,80-84,bumi_other,0.4
Johor,2022-01-01,both,80-84,chinese,7.7
Johor,2022-01-01,both,80-84,indian,1.1
Johor,2022-01-01,both,80-84,other_citizen,0.0
Johor,2022-01-01,both,80-84,other_noncitizen,3.0
Johor,2022-01-01,both,85+,overall,19.4
Johor,2022-01-01,both,85+,bumi_malay,10.1
Johor,2022-01-01,both,85+,bumi_other,0.6
Johor,2022-01-01,both,85+,chinese,4.3
Johor,2022-01-01,both,85+,indian,1.1
Johor,2022-01-01,both,85+,other_citizen,0.0
Johor,2022-01-01,both,85+,other_noncitizen,3.4
Johor,2022-01-01,female,overall,overall,1890.0
Johor,2022-01-01,female,overall,bumi_malay,1087.8
Johor,2022-01-01,female,overall,bumi_other,27.4
Johor,2022-01-01,female,overall,chinese,591.1
Johor,2022-01-01,female,overall,indian,122.0
Johor,2022-01-01,female,overall,other_citizen,7.7
Johor,2022-01-01,female,overall,other_noncitizen,54.1
Johor,2022-01-01,female,0-4,overall,140.3
Johor,2022-01-01,female,0-4,bumi_malay,95.9
Johor,2022-01-01,female,0-4,bumi_other,3.1
Johor,2022-01-01,female,0-4,chinese,31.7
Johor,2022-01-01,female,0-4,indian,7.9
Johor,2022-01-01,female,0-4,other_citizen,0.9
Johor,2022-01-01,female,0-4,other_noncitizen,0.8
Johor,2022-01-01,female,5-9,overall,153.7
Johor,2022-01-01,female,5-9,bumi_malay,94.1
Johor,2022-01-01,female,5-9,bumi_other,2.4
Johor,2022-01-01,female,5-9,chinese,46.1
Johor,2022-01-01,female,5-9,indian,9.7
Johor,2022-01-01,female,5-9,other_citizen,0.5
Johor,2022-01-01,female,5-9,other_noncitizen,0.8
Johor,2022-01-01,female,10-14,overall,163.0
Johor,2022-01-01,female,10-14,bumi_malay,98.8
Johor,2022-01-01,female,10-14,bumi_other,2.7
Johor,2022-01-01,female,10-14,chinese,49.3
Johor,2022-01-01,female,10-14,indian,11.0
Johor,2022-01-01,female,10-14,other_citizen,0.6
Johor,2022-01-01,female,10-14,other_noncitizen,0.6
Johor,2022-01-01,female,15-19,overall,157.0
Johor,2022-01-01,female,15-19,bumi_malay,93.5
Johor,2022-01-01,female,15-19,bumi_other,2.8
Johor,2022-01-01,female,15-19,chinese,46.8
Johor,2022-01-01,female,15-19,indian,10.3
Johor,2022-01-01,female,15-19,other_citizen,1.0
Johor,2022-01-01,female,15-19,other_noncitizen,2.7
Johor,2022-01-01,female,20-24,overall,171.3
Johor,2022-01-01,female,20-24,bumi_malay,97.1
Johor,2022-01-01,female,20-24,bumi_other,2.8
Johor,2022-01-01,female,20-24,chinese,50.0
Johor,2022-01-01,female,20-24,indian,10.3
Johor,2022-01-01,female,20-24,other_citizen,1.4
Johor,2022-01-01,female,20-24,other_noncitizen,9.8
Johor,2022-01-01,female,25-29,overall,155.5
Johor,2022-01-01,female,25-29,bumi_malay,86.6
Johor,2022-01-01,female,25-29,bumi_other,2.1
Johor,2022-01-01,female,25-29,chinese,48.1
Johor,2022-01-01,female,25-29,indian,10.0
Johor,2022-01-01,female,25-29,other_citizen,0.8
Johor,2022-01-01,female,25-29,other_noncitizen,7.9
Johor,2022-01-01,female,30-34,overall,148.8
Johor,2022-01-01,female,30-34,bumi_malay,85.7
Johor,2022-01-01,female,30-34,bumi_other,1.7
Johor,2022-01-01,female,30-34,chinese,45.6
Johor,2022-01-01,female,30-34,indian,8.9
Johor,2022-01-01,female,30-34,other_citizen,0.5
Johor,2022-01-01,female,30-34,other_noncitizen,6.4
Johor,2022-01-01,female,35-39,overall,145.6
Johor,2022-01-01,female,35-39,bumi_malay,85.3
Johor,2022-01-01,female,35-39,bumi_other,2.7
Johor,2022-01-01,female,35-39,chinese,44.0
Johor,2022-01-01,female,35-39,indian,9.0
Johor,2022-01-01,female,35-39,other_citizen,0.1
Johor,2022-01-01,female,35-39,other_noncitizen,4.5
Johor,2022-01-01,female,40-44,overall,128.0
Johor,2022-01-01,female,40-44,bumi_malay,70.8
Johor,2022-01-01,female,40-44,bumi_other,1.9
Johor,2022-01-01,female,40-44,chinese,41.8
Johor,2022-01-01,female,40-44,indian,9.6
Johor,2022-01-01,female,40-44,other_citizen,0.4
Johor,2022-01-01,female,40-44,other_noncitizen,3.5
Johor,2022-01-01,female,45-49,overall,110.3
Johor,2022-01-01,female,45-49,bumi_malay,57.8
Johor,2022-01-01,female,45-49,bumi_other,1.2
Johor,2022-01-01,female,45-49,chinese,40.1
Johor,2022-01-01,female,45-49,indian,8.1
Johor,2022-01-01,female,45-49,other_citizen,0.3
Johor,2022-01-01,female,45-49,other_noncitizen,2.8
Johor,2022-01-01,female,50-54,overall,105.8
Johor,2022-01-01,female,50-54,bumi_malay,55.9
Johor,2022-01-01,female,50-54,bumi_other,1.1
Johor,2022-01-01,female,50-54,chinese,39.2
Johor,2022-01-01,female,50-54,indian,7.2
Johor,2022-01-01,female,50-54,other_citizen,0.3
Johor,2022-01-01,female,50-54,other_noncitizen,2.1
Johor,2022-01-01,female,55-59,overall,93.3
Johor,2022-01-01,female,55-59,bumi_malay,50.7
Johor,2022-01-01,female,55-59,bumi_other,0.7
Johor,2022-01-01,female,55-59,chinese,34.2
Johor,2022-01-01,female,55-59,indian,5.8
Johor,2022-01-01,female,55-59,other_citizen,0.3
Johor,2022-01-01,female,55-59,other_noncitizen,1.5
Johor,2022-01-01,female,60-64,overall,81.0
Johor,2022-01-01,female,60-64,bumi_malay,43.1
Johor,2022-01-01,female,60-64,bumi_other,0.5
Johor,2022-01-01,female,60-64,chinese,30.8
Johor,2022-01-01,female,60-64,indian,5.1
Johor,2022-01-01,female,60-64,other_citizen,0.2
Johor,2022-01-01,female,60-64,other_noncitizen,1.2
Johor,2022-01-01,female,65-69,overall,58.2
Johor,2022-01-01,female,65-69,bumi_malay,30.3
Johor,2022-01-01,female,65-69,bumi_other,0.5
Johor,2022-01-01,female,65-69,chinese,19.6
Johor,2022-01-01,female,65-69,indian,4.0
Johor,2022-01-01,female,65-69,other_citizen,0.3
Johor,2022-01-01,female,65-69,other_noncitizen,3.6
Johor,2022-01-01,female,70-74,overall,35.7
Johor,2022-01-01,female,70-74,bumi_malay,19.3
Johor,2022-01-01,female,70-74,bumi_other,0.5
Johor,2022-01-01,female,70-74,chinese,11.1
Johor,2022-01-01,female,70-74,indian,2.4
Johor,2022-01-01,female,70-74,other_citizen,0.2
Johor,2022-01-01,female,70-74,other_noncitizen,2.2
Johor,2022-01-01,female,75-79,overall,21.7
Johor,2022-01-01,female,75-79,bumi_malay,11.4
Johor,2022-01-01,female,75-79,bumi_other,0.3
Johor,2022-01-01,female,75-79,chinese,7.3
Johor,2022-01-01,female,75-79,indian,1.5
Johor,2022-01-01,female,75-79,other_citizen,0.1
Johor,2022-01-01,female,75-79,other_noncitizen,1.2
Johor,2022-01-01,female,80-84,overall,12.6
Johor,2022-01-01,female,80-84,bumi_malay,6.7
Johor,2022-01-01,female,80-84,bumi_other,0.2
Johor,2022-01-01,female,80-84,chinese,3.9
Johor,2022-01-01,female,80-84,indian,0.6
Johor,2022-01-01,female,80-84,other_citizen,0.0
Johor,2022-01-01,female,80-84,other_noncitizen,1.2
Johor,2022-01-01,female,85+,overall,8.4
Johor,2022-01-01,female,85+,bumi_malay,4.8
Johor,2022-01-01,female,85+,bumi_other,0.3
Johor,2022-01-01,female,85+,chinese,1.5
Johor,2022-01-01,female,85+,indian,0.5
Johor,2022-01-01,female,85+,other_citizen,0.0
Johor,2022-01-01,female,85+,other_noncitizen,1.2
Johor,2022-01-01,male,overall,overall,2138.2
Johor,2022-01-01,male,overall,bumi_malay,1120.7
Johor,2022-01-01,male,overall,bumi_other,30.9
Johor,2022-01-01,male,overall,chinese,619.0
Johor,2022-01-01,male,overall,indian,122.7
Johor,2022-01-01,male,overall,other_citizen,11.3
Johor,2022-01-01,male,overall,other_noncitizen,233.5
Johor,2022-01-01,male,0-4,overall,140.4
Johor,2022-01-01,male,0-4,bumi_malay,97.5
Johor,2022-01-01,male,0-4,bumi_other,3.1
Johor,2022-01-01,male,0-4,chinese,30.4
Johor,2022-01-01,male,0-4,indian,7.4
Johor,2022-01-01,male,0-4,other_citizen,0.9
Johor,2022-01-01,male,0-4,other_noncitizen,1.0
Johor,2022-01-01,male,5-9,overall,159.1
Johor,2022-01-01,male,5-9,bumi_malay,98.3
Johor,2022-01-01,male,5-9,bumi_other,2.6
Johor,2022-01-01,male,5-9,chinese,47.0
Johor,2022-01-01,male,5-9,indian,9.8
Johor,2022-01-01,male,5-9,other_citizen,0.5
Johor,2022-01-01,male,5-9,other_noncitizen,0.9
Johor,2022-01-01,male,10-14,overall,174.4
Johor,2022-01-01,male,10-14,bumi_malay,105.5
Johor,2022-01-01,male,10-14,bumi_other,2.8
Johor,2022-01-01,male,10-14,chinese,53.4
Johor,2022-01-01,male,10-14,indian,11.5
Johor,2022-01-01,male,10-14,other_citizen,0.6
Johor,2022-01-01,male,10-14,other_noncitizen,0.6
Johor,2022-01-01,male,15-19,overall,175.0
Johor,2022-01-01,male,15-19,bumi_malay,99.2
Johor,2022-01-01,male,15-19,bumi_other,2.7
Johor,2022-01-01,male,15-19,chinese,49.3
Johor,2022-01-01,male,15-19,indian,10.5
Johor,2022-01-01,male,15-19,other_citizen,2.0
Johor,2022-01-01,male,15-19,other_noncitizen,11.2
Johor,2022-01-01,male,20-24,overall,221.2
Johor,2022-01-01,male,20-24,bumi_malay,103.4
Johor,2022-01-01,male,20-24,bumi_other,2.2
Johor,2022-01-01,male,20-24,chinese,54.0
Johor,2022-01-01,male,20-24,indian,11.0
Johor,2022-01-01,male,20-24,other_citizen,2.3
Johor,2022-01-01,male,20-24,other_noncitizen,48.3
Johor,2022-01-01,male,25-29,overall,208.3
Johor,2022-01-01,male,25-29,bumi_malay,92.3
Johor,2022-01-01,male,25-29,bumi_other,1.0
Johor,2022-01-01,male,25-29,chinese,51.2
Johor,2022-01-01,male,25-29,indian,9.8
Johor,2022-01-01,male,25-29,other_citizen,0.2
Johor,2022-01-01,male,25-29,other_noncitizen,53.7
Johor,2022-01-01,male,30-34,overall,184.8
Johor,2022-01-01,male,30-34,bumi_malay,90.1
Johor,2022-01-01,male,30-34,bumi_other,2.1
Johor,2022-01-01,male,30-34,chinese,47.3
Johor,2022-01-01,male,30-34,indian,9.5
Johor,2022-01-01,male,30-34,other_citizen,0.5
Johor,2022-01-01,male,30-34,other_noncitizen,35.4
Johor,2022-01-01,male,35-39,overall,173.4
Johor,2022-01-01,male,35-39,bumi_malay,87.5
Johor,2022-01-01,male,35-39,bumi_other,3.6
Johor,2022-01-01,male,35-39,chinese,47.1
Johor,2022-01-01,male,35-39,indian,10.0
Johor,2022-01-01,male,35-39,other_citizen,0.5
Johor,2022-01-01,male,35-39,other_noncitizen,24.7
Johor,2022-01-01,male,40-44,overall,148.3
Johor,2022-01-01,male,40-44,bumi_malay,73.3
Johor,2022-01-01,male,40-44,bumi_other,2.9
Johor,2022-01-01,male,40-44,chinese,45.1
Johor,2022-01-01,male,40-44,indian,10.3
Johor,2022-01-01,male,40-44,other_citizen,0.6
Johor,2022-01-01,male,40-44,other_noncitizen,16.0
Johor,2022-01-01,male,45-49,overall,125.6
Johor,2022-01-01,male,45-49,bumi_malay,59.3
Johor,2022-01-01,male,45-49,bumi_other,2.8
Johor,2022-01-01,male,45-49,chinese,42.9
Johor,2022-01-01,male,45-49,indian,8.2
Johor,2022-01-01,male,45-49,other_citizen,1.1
Johor,2022-01-01,male,45-49,other_noncitizen,11.2
Johor,2022-01-01,male,50-54,overall,109.8
Johor,2022-01-01,male,50-54,bumi_malay,54.1
Johor,2022-01-01,male,50-54,bumi_other,1.4
Johor,2022-01-01,male,50-54,chinese,39.7
Johor,2022-01-01,male,50-54,indian,6.7
Johor,2022-01-01,male,50-54,other_citizen,0.4
Johor,2022-01-01,male,50-54,other_noncitizen,7.5
Johor,2022-01-01,male,55-59,overall,100.6
Johor,2022-01-01,male,55-59,bumi_malay,50.1
Johor,2022-01-01,male,55-59,bumi_other,1.1
Johor,2022-01-01,male,55-59,chinese,36.9
Johor,2022-01-01,male,55-59,indian,6.3
Johor,2022-01-01,male,55-59,other_citizen,0.3
Johor,2022-01-01,male,55-59,other_noncitizen,5.9
Johor,2022-01-01,male,60-64,overall,83.8
Johor,2022-01-01,male,60-64,bumi_malay,42.5
Johor,2022-01-01,male,60-64,bumi_other,0.7
Johor,2022-01-01,male,60-64,chinese,31.8
Johor,2022-01-01,male,60-64,indian,4.7
Johor,2022-01-01,male,60-64,other_citizen,0.5
Johor,2022-01-01,male,60-64,other_noncitizen,3.7
Johor,2022-01-01,male,65-69,overall,55.7
Johor,2022-01-01,male,65-69,bumi_malay,28.3
Johor,2022-01-01,male,65-69,bumi_other,0.6
Johor,2022-01-01,male,65-69,chinese,18.7
Johor,2022-01-01,male,65-69,indian,3.1
Johor,2022-01-01,male,65-69,other_citizen,0.5
Johor,2022-01-01,male,65-69,other_noncitizen,4.5
Johor,2022-01-01,male,70-74,overall,34.6
Johor,2022-01-01,male,70-74,bumi_malay,18.4
Johor,2022-01-01,male,70-74,bumi_other,0.4
Johor,2022-01-01,male,70-74,chinese,10.7
Johor,2022-01-01,male,70-74,indian,1.9
Johor,2022-01-01,male,70-74,other_citizen,0.2
Johor,2022-01-01,male,70-74,other_noncitizen,3.0
Johor,2022-01-01,male,75-79,overall,20.1
Johor,2022-01-01,male,75-79,bumi_malay,10.0
Johor,2022-01-01,male,75-79,bumi_other,0.3
Johor,2022-01-01,male,75-79,chinese,6.9
Johor,2022-01-01,male,75-79,indian,1.1
Johor,2022-01-01,male,75-79,other_citizen,0.0
Johor,2022-01-01,male,75-79,other_noncitizen,1.7
Johor,2022-01-01,male,80-84,overall,11.9
Johor,2022-01-01,male,80-84,bumi_malay,5.6
Johor,2022-01-01,male,80-84,bumi_other,0.2
Johor,2022-01-01,male,80-84,chinese,3.8
Johor,2022-01-01,male,80-84,indian,0.5
Johor,2022-01-01,male,80-84,other_citizen,0.0
Johor,2022-01-01,male,80-84,other_noncitizen,1.8
Johor,2022-01-01,male,85+,overall,11.0
Johor,2022-01-01,male,85+,bumi_malay,5.2
Johor,2022-01-01,male,85+,bumi_other,0.3
Johor,2022-01-01,male,85+,chinese,2.7
Johor,2022-01-01,male,85+,indian,0.6
Johor,2022-01-01,male,85+,other_citizen,0.0
Johor,2022-01-01,male,85+,other_noncitizen,2.3
Kedah,2022-01-01,both,overall,overall,2163.1
Kedah,2022-01-01,both,overall,bumi_malay,1665.5
Kedah,2022-01-01,both,overall,bumi_other,4.7
Kedah,2022-01-01,both,overall,chinese,249.5
Kedah,2022-01-01,both,overall,indian,128.6
Kedah,2022-01-01,both,overall,other_citizen,25.7
Kedah,2022-01-01,both,overall,other_noncitizen,89.1
Kedah,2022-01-01,both,0-4,overall,173.1
Kedah,2022-01-01,both,0-4,bumi_malay,142.0
Kedah,2022-01-01,both,0-4,bumi_other,0.3
Kedah,2022-01-01,both,0-4,chinese,12.2
Kedah,2022-01-01,both,0-4,indian,6.7
Kedah,2022-01-01,both,0-4,other_citizen,1.9
Kedah,2022-01-01,both,0-4,other_noncitizen,9.9
Kedah,2022-01-01,both,5-9,overall,182.0
Kedah,2022-01-01,both,5-9,bumi_malay,144.8
Kedah,2022-01-01,both,5-9,bumi_other,0.4
Kedah,2022-01-01,both,5-9,chinese,19.4
Kedah,2022-01-01,both,5-9,indian,8.9
Kedah,2022-01-01,both,5-9,other_citizen,2.5
Kedah,2022-01-01,both,5-9,other_noncitizen,6.1
Kedah,2022-01-01,both,10-14,overall,178.4
Kedah,2022-01-01,both,10-14,bumi_malay,136.3
Kedah,2022-01-01,both,10-14,bumi_other,0.3
Kedah,2022-01-01,both,10-14,chinese,23.3
Kedah,2022-01-01,both,10-14,indian,12.4
Kedah,2022-01-01,both,10-14,other_citizen,2.2
Kedah,2022-01-01,both,10-14,other_noncitizen,3.9
Kedah,2022-01-01,both,15-19,overall,177.4
Kedah,2022-01-01,both,15-19,bumi_malay,139.4
Kedah,2022-01-01,both,15-19,bumi_other,0.1
Kedah,2022-01-01,both,15-19,chinese,20.1
Kedah,2022-01-01,both,15-19,indian,11.0
Kedah,2022-01-01,both,15-19,other_citizen,1.9
Kedah,2022-01-01,both,15-19,other_noncitizen,4.9
Kedah,2022-01-01,both,20-24,overall,213.7
Kedah,2022-01-01,both,20-24,bumi_malay,165.1
Kedah,2022-01-01,both,20-24,bumi_other,0.3
Kedah,2022-01-01,both,20-24,chinese,19.9
Kedah,2022-01-01,both,20-24,indian,12.0
Kedah,2022-01-01,both,20-24,other_citizen,2.6
Kedah,2022-01-01,both,20-24,other_noncitizen,13.8
Kedah,2022-01-01,both,25-29,overall,211.2
Kedah,2022-01-01,both,25-29,bumi_malay,158.9
Kedah,2022-01-01,both,25-29,bumi_other,0.2
Kedah,2022-01-01,both,25-29,chinese,21.4
Kedah,2022-01-01,both,25-29,indian,11.5
Kedah,2022-01-01,both,25-29,other_citizen,2.0
Kedah,2022-01-01,both,25-29,other_noncitizen,17.2
Kedah,2022-01-01,both,30-34,overall,165.4
Kedah,2022-01-01,both,30-34,bumi_malay,123.1
Kedah,2022-01-01,both,30-34,bumi_other,0.5
Kedah,2022-01-01,both,30-34,chinese,19.2
Kedah,2022-01-01,both,30-34,indian,10.5
Kedah,2022-01-01,both,30-34,other_citizen,2.0
Kedah,2022-01-01,both,30-34,other_noncitizen,10.1
Kedah,2022-01-01,both,35-39,overall,138.7
Kedah,2022-01-01,both,35-39,bumi_malay,105.1
Kedah,2022-01-01,both,35-39,bumi_other,0.4
Kedah,2022-01-01,both,35-39,chinese,14.8
Kedah,2022-01-01,both,35-39,indian,9.1
Kedah,2022-01-01,both,35-39,other_citizen,2.1
Kedah,2022-01-01,both,35-39,other_noncitizen,7.2
Kedah,2022-01-01,both,40-44,overall,120.5
Kedah,2022-01-01,both,40-44,bumi_malay,91.9
Kedah,2022-01-01,both,40-44,bumi_other,0.3
Kedah,2022-01-01,both,40-44,chinese,14.1
Kedah,2022-01-01,both,40-44,indian,8.2
Kedah,2022-01-01,both,40-44,other_citizen,1.5
Kedah,2022-01-01,both,40-44,other_noncitizen,4.5
Kedah,2022-01-01,both,45-49,overall,112.8
Kedah,2022-01-01,both,45-49,bumi_malay,86.9
Kedah,2022-01-01,both,45-49,bumi_other,0.2
Kedah,2022-01-01,both,45-49,chinese,15.1
Kedah,2022-01-01,both,45-49,indian,7.1
Kedah,2022-01-01,both,45-49,other_citizen,1.3
Kedah,2022-01-01,both,45-49,other_noncitizen,2.3
Kedah,2022-01-01,both,50-54,overall,109.3
Kedah,2022-01-01,both,50-54,bumi_malay,84.1
Kedah,2022-01-01,both,50-54,bumi_other,0.4
Kedah,2022-01-01,both,50-54,chinese,15.3
Kedah,2022-01-01,both,50-54,indian,6.7
Kedah,2022-01-01,both,50-54,other_citizen,1.3
Kedah,2022-01-01,both,50-54,other_noncitizen,1.5
Kedah,2022-01-01,both,55-59,overall,103.6
Kedah,2022-01-01,both,55-59,bumi_malay,78.6
Kedah,2022-01-01,both,55-59,bumi_other,0.4
Kedah,2022-01-01,both,55-59,chinese,15.7
Kedah,2022-01-01,both,55-59,indian,6.7
Kedah,2022-01-01,both,55-59,other_citizen,1.3
Kedah,2022-01-01,both,55-59,other_noncitizen,0.9
Kedah,2022-01-01,both,60-64,overall,92.2
Kedah,2022-01-01,both,60-64,bumi_malay,68.6
Kedah,2022-01-01,both,60-64,bumi_other,0.3
Kedah,2022-01-01,both,60-64,chinese,15.5
Kedah,2022-01-01,both,60-64,indian,6.2
Kedah,2022-01-01,both,60-64,other_citizen,1.0
Kedah,2022-01-01,both,60-64,other_noncitizen,0.5
Kedah,2022-01-01,both,65-69,overall,73.0
Kedah,2022-01-01,both,65-69,bumi_malay,55.1
Kedah,2022-01-01,both,65-69,bumi_other,0.2
Kedah,2022-01-01,both,65-69,chinese,9.8
Kedah,2022-01-01,both,65-69,indian,4.8
Kedah,2022-01-01,both,65-69,other_citizen,0.9
Kedah,2022-01-01,both,65-69,other_noncitizen,2.1
Kedah,2022-01-01,both,70-74,overall,50.8
Kedah,2022-01-01,both,70-74,bumi_malay,39.4
Kedah,2022-01-01,both,70-74,bumi_other,0.2
Kedah,2022-01-01,both,70-74,chinese,6.0
Kedah,2022-01-01,both,70-74,indian,3.2
Kedah,2022-01-01,both,70-74,other_citizen,0.7
Kedah,2022-01-01,both,70-74,other_noncitizen,1.4
Kedah,2022-01-01,both,75-79,overall,29.8
Kedah,2022-01-01,both,75-79,bumi_malay,22.8
Kedah,2022-01-01,both,75-79,bumi_other,0.1
Kedah,2022-01-01,both,75-79,chinese,3.9
Kedah,2022-01-01,both,75-79,indian,1.7
Kedah,2022-01-01,both,75-79,other_citizen,0.4
Kedah,2022-01-01,both,75-79,other_noncitizen,0.9
Kedah,2022-01-01,both,80-84,overall,18.7
Kedah,2022-01-01,both,80-84,bumi_malay,14.6
Kedah,2022-01-01,both,80-84,bumi_other,0.1
Kedah,2022-01-01,both,80-84,chinese,2.4
Kedah,2022-01-01,both,80-84,indian,0.9
Kedah,2022-01-01,both,80-84,other_citizen,0.1
Kedah,2022-01-01,both,80-84,other_noncitizen,0.6
Kedah,2022-01-01,both,85+,overall,12.7
Kedah,2022-01-01,both,85+,bumi_malay,9.0
Kedah,2022-01-01,both,85+,bumi_other,0.1
